agent,attack,f1_mean,f1_std,f1_ci95,precision_mean,recall_mean,convergence_episode,p_vs_pbft,significant_vs_pbft
rl,nma,0.9227053140096618,0.0,"[0.923, 0.923]",,,,,False
rl,cra,0.5,0.0,"[0.500, 0.500]",,,,,False
rl,aaa,0.5,0.0,"[0.500, 0.500]",,,,,False
rl,bfi,1.0,0.0,"[1.000, 1.000]",,,9.0,,False
rl,tdp,0.1578947368421052,0.0,"[0.158, 0.158]",,,19.0,,False
drl,nma,1.0,0.0,"[1.000, 1.000]",,,8.0,,False
drl,cra,0.6761133603238867,0.0,"[0.676, 0.676]",,,,,False
drl,aaa,1.0,0.0,"[1.000, 1.000]",,,5.0,,False
drl,bfi,1.0,0.0,"[1.000, 1.000]",,,10.0,,False
drl,tdp,0.1111111111111111,0.0,"[0.111, 0.111]",,,,,False
marl,nma,0.7333333333333334,0.0,"[0.733, 0.733]",,,25.0,,False
marl,cra,0.8545454545454545,0.0,"[0.855, 0.855]",,,,,False
marl,aaa,1.0,0.0,"[1.000, 1.000]",,,3.0,,False
marl,bfi,1.0,0.0,"[1.000, 1.000]",,,11.0,,False
marl,tdp,0.1111111111111111,0.0,"[0.111, 0.111]",,,,,False
