Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput,Trust Decay Rate,Consensus Threshold
1,6009.546536708776,1.0,21,131,0.99,0.35
2,7253.780078757743,1.0,41,105,0.9405,0.9
3,7268.081092010478,1.0,61,113,0.8797950000000001,0.85
4,7276.550420818416,1.0,81,115,0.8775955125000001,0.6499999999999998
5,7281.191163138571,1.0,101,126,0.8,0.65
6,7283.910438701054,1.0,121,126,0.8845736995052137,0.6999999999999998
7,7286.099064460382,1.0,141,83,0.8797950000000001,0.7999999999999999
8,7287.761015284313,1.0,161,112,0.8,0.44999999999999973
9,7290.448901027869,1.0,181,141,0.8,0.44999999999999996
10,7294.599536221414,1.0,201,112,0.8867906761957032,0.7999999999999999
11,7297.186224794344,1.0,221,114,0.9850561875,0.6999999999999998
12,7297.679583918921,1.0,241,106,0.99,0.49999999999999994
13,7297.703388471113,1.0,261,113,0.99,0.3
14,7297.72756962608,1.0,281,126,0.9699739875000002,0.9
15,7297.820221483543,1.0,301,119,0.8912413124999998,0.5499999999999997
16,7297.987397476303,1.0,321,122,0.8,0.9
17,7298.027201921105,1.0,341,145,0.8466792468749998,0.7999999999999999
18,7298.027201921105,1.0,361,182,0.9627173544501721,0.8000000000000002
19,7298.027201921105,1.0,381,150,0.8,0.6499999999999998
20,7298.027201921105,1.0,401,134,0.8,0.65
21,7298.027201921105,1.0,421,110,0.9850561875000001,0.4999999999999997
22,7298.027201921105,1.0,441,88,0.9311302100054882,0.39999999999999974
23,7298.027201921105,1.0,461,100,0.9699739875000002,0.49999999999999994
24,7298.027201921105,1.0,481,126,0.8912413124999999,0.7999999999999999
25,7298.027201921105,1.0,501,131,0.9875250000000001,0.6499999999999998
26,7298.027201921105,1.0,521,128,0.83580525,0.9
27,7298.027201921105,1.0,541,115,0.99,0.9
28,7298.027201921105,1.0,561,161,0.8820000000000001,0.85
29,7298.027201921105,1.0,581,113,0.8400000000000001,0.44999999999999996
30,7298.027201921105,1.0,601,141,0.8820000000000001,0.65
31,7298.027201921105,1.0,621,113,0.8820000000000001,0.5999999999999998
32,7298.027201921105,1.0,641,98,0.8379000000000001,0.7499999999999999
33,7298.027201921105,1.0,661,110,0.9405,0.6499999999999998
34,7298.027201921105,1.0,681,112,0.8,0.7499999999999999
35,7298.027201921105,1.0,701,113,0.9875250000000001,0.39999999999999997
36,7298.027201921105,1.0,721,119,0.9191715999046876,0.49999999999999994
37,7298.027201921105,1.0,741,134,0.9237847500000002,0.35
38,7298.027201921105,1.0,761,117,0.8400000000000001,0.3
39,7298.027201921105,1.0,781,123,0.9261000000000001,0.7499999999999999
40,7298.027201921105,1.0,801,146,0.99,0.3
41,7298.027201921105,1.0,821,138,0.9703723864516236,0.3
42,7298.027201921105,1.0,841,126,0.8340581702596099,0.6
43,7298.027201921105,1.0,861,140,0.8820000000000001,0.3
44,7298.027201921105,1.0,881,137,0.886790676195703,0.35
45,7298.027201921105,1.0,901,118,0.9405,0.49999999999999994
46,7298.027201921105,1.0,921,143,0.9875250000000001,0.65
47,7298.027201921105,1.0,941,131,0.9724050000000002,0.5499999999999999
48,7298.027201921105,1.0,961,94,0.99,0.49999999999999994
49,7298.027201921105,1.0,981,89,0.9405,0.8000000000000002
50,7298.027201921105,1.0,1001,128,0.9405,0.6499999999999998
