Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput,Trust Decay Rate,Consensus Threshold
1,1643.9468759101105,0.4666666666666667,11,61,0.8912413125,0.5499999999999999
2,1585.9581388144009,0.4337568058076225,21,44,0.99,0.39999999999999997
3,1621.3652256725463,0.4337568058076225,31,60,0.8337157368750001,0.5499999999999999
4,1608.119395088397,0.4337568058076225,41,54,0.9776867205057629,0.49999999999999994
5,1440.8551963666296,0.32867132867132864,48,2,0.8043452845312499,0.49999999999999994
6,1067.1436538435285,0.36507936507936506,57,2,0.965130179899922,0.6999999999999998
7,1309.3059237332543,0.32867132867132864,67,4,0.99,0.6499999999999998
8,1117.9693978700618,0.32867132867132864,75,3,0.9728043974452368,0.6499999999999998
9,1128.6345273378017,0.25,84,2,0.9264803785192733,0.7999999999999999
10,1029.758285115534,0.25,90,4,0.99,0.9
11,1155.9277158552543,0.25,97,4,0.8775955125000001,0.7499999999999999
12,1091.1094469269817,0.29043478260869565,102,4,0.8820000000000001,0.35
13,964.954002968126,0.20695652173913043,110,2,0.8379000000000001,0.5499999999999999
14,987.0187520789443,0.36507936507936506,113,2,0.9875250000000001,0.3
15,1017.7636590274732,0.25,121,5,0.8775955125000001,0.44999999999999996
16,913.1581653183264,0.25,129,2,0.8934749999999999,0.39999999999999997
17,1000.8706182073277,0.29043478260869565,139,5,0.9288023844804745,0.8000000000000002
18,1115.199194396751,0.32867132867132864,146,7,0.8043452845312499,0.44999999999999996
19,1238.7702408224695,0.32867132867132864,156,8,0.9311302100054883,0.8000000000000002
20,1189.83819149579,0.36507936507936506,166,10,0.8,0.7499999999999999
21,1361.9212431135822,0.4337568058076225,176,8,0.8,0.9
22,2049.216223192412,0.5966386554621849,186,8,0.8797950000000001,0.9
23,2398.7759568297747,0.7473684210526316,196,14,0.8,0.7999999999999999
24,2912.3933269685012,0.85,206,10,0.99,0.7499999999999999
25,3448.503317960765,1.0,216,24,0.8,0.85
26,2726.5785954585294,0.5966386554621849,226,5,0.9168736709049259,0.7999999999999999
27,1347.3267412478385,0.29043478260869565,228,3,0.9850561875,0.85
28,926.426412175926,0.20695652173913043,228,3,0.9237847500000002,0.35
29,567.6554473178335,0.16083916083916083,228,3,0.99,0.3
30,735.0197062918363,0.20695652173913043,229,2,0.8400000000000001,0.7500000000000001
31,535.3761629465814,0.1111111111111111,229,2,0.99,0.39999999999999997
32,510.9988197383951,0.16083916083916083,229,2,0.8,0.5499999999999999
33,505.035221997747,0.1111111111111111,229,2,0.8,0.3
34,495.8557906605652,0.1111111111111111,229,2,0.9334638696796874,0.6
35,450.64538735631044,0.1111111111111111,229,2,0.8337157368750001,0.6499999999999998
36,451.2274594045542,0.1111111111111111,229,2,0.8488012499999998,0.6499999999999998
37,472.69634697970173,0.1111111111111111,229,2,0.8,0.49999999999999994
38,1213.1330175059243,0.36507936507936506,229,2,0.8379000000000001,0.3
39,1378.88193551336,0.36507936507936506,229,2,0.8400000000000001,0.39999999999999997
40,1663.364041689059,0.53125,230,2,0.99,0.39999999999999997
41,1690.374944485853,0.32867132867132864,233,2,0.8754015237187501,0.49999999999999994
42,1477.6544043507092,0.4,233,2,0.9358033781249999,0.5499999999999999
43,1340.7028023114879,0.4666666666666667,233,2,0.8,0.9
44,1390.317484304834,0.16083916083916083,234,4,0.8400000000000001,0.5999999999999998
45,868.3329008607626,0.32867132867132864,234,4,0.9405,0.9
46,1717.4429357872716,0.5636363636363637,234,4,0.83580525,0.6499999999999998
47,1935.1764405426106,0.4337568058076225,238,2,0.83580525,0.3
48,1397.2092013851652,0.32867132867132864,239,2,0.8912413125,0.5499999999999999
49,1076.4838510055138,0.25,239,2,0.9405,0.3
50,676.8999285254549,0.1111111111111111,239,2,0.9405,0.7000000000000001
51,467.7358305345831,0.1111111111111111,239,2,0.99,0.5499999999999999
52,465.28029150570825,0.1111111111111111,239,2,0.99,0.44999999999999996
53,459.63891180976765,0.1111111111111111,239,2,0.8382441519936281,0.3
54,451.29231993817723,0.1111111111111111,239,2,0.9405,0.5499999999999999
55,445.53698472346684,0.1111111111111111,239,2,0.8823622652564508,0.9
